name,linkedin,title,image
Abra Geiger,,President,abra-geiger.jpg
Emma Linscomb,,Vice President,emma-linscomb.jpg
Jerry Wang,,Treasurer,jerry-wang.jpg
Abigail Bohl,,Secretary,abigail-bohl.png
Zoey Monroe,,WiP+ Chair,zoey-monroe.jpg
Hunter Whetstone,,Diversity Chair,hunter-whetstone.png
Marquice Sanchez-Fleming,,Outreach Chair,marquice-sanchez-fleming.jpg
Peggy Chen,,Outreach Committee,
Sophia Yang,,Wiki Editor,sophia-yang.jpg
Aitzaz Munir Shaikh,,Wiki Editor,aitzaz-munir-shaikh.jpg
Yehyun Choi,,Wiki Editor,yehyun-choi.jpg
Chanpisey Ung,,Social Media Chair,chanpisey-ung.jpg
Austin Wu,,Website Manager,austin-wu.png
